ABC1001	144265	132965	57608
ABC1002	138910	126424	63769
ABC1003	124820	115131	48274
ABC1004	123287	112873	49138
ABC1005	135228	124698	48863
ABC1006	114656	105350	43397
ABC1007	124456	114394	51034
ABC1008	124949	113194	57065
ABC1009	138516	127127	49494
ABC1011	128167	118928	48609
ABC1012	136557	126465	50182
ABC1014	154387	143145	56660
ABC1015	128024	118126	53143
ABC1016	130715	120989	46947
ABC1018	104739	96467	44180
ABC1019	135970	124354	58720
ABC1020	145106	133234	60719
ABC1021	105459	95738	49907
ABC1022	120735	109875	61897
ABC1023	145193	134704	56072
ABC1024	125547	113099	63470
ABC1025	129544	118185	58070
ABC1026	109546	101223	43289
ABC1027	127812	118517	45413
ABC1028	143134	131535	60349
ABC1029	136611	125361	51261
ABC1030	115658	107090	46326
ABC1031	101787	95184	34447
ABC1032	130585	119467	49761
ABC1033	123403	111464	65565
ABC1035	97639	91163	35079
ABC1036	123924	114667	48244
ABC1037	98839	89823	48448
ABC1039	139711	126621	64972
ABC1040	123044	114368	43808
ABC1041	145562	132770	63874
ABC1042	139563	127731	54951
ABC1044	131151	120987	43399
ABC1045	106335	97619	47506
ABC1046	115081	106583	42792
ABC1047	114601	103957	58960
ABC1048	138690	128274	50431
ABC1049	135857	124543	61146
ABC1050	141808	129878	63244
ABC1051	113796	105695	40779
ABC1052	117863	106931	56966
ABC1053	141960	131651	51254
ABC1054	151362	139417	62057
ABC1055	141824	130026	59546
ABC1056	118881	110770	43133
ABC1057	124870	115825	47777
ABC1058	119670	107748	55322
ABC1059	143951	132402	52452
ABC1060	124622	114447	49634
ABC1061	131025	120822	52123
ABC1062	135173	123660	56766
ABC1063	147341	136436	57379
ABC1064	125645	113336	70521
ABC1065	126205	115328	51808
ABC1066	127983	119024	48333
ABC1068	141994	130821	57852
ABC1069	143085	134286	45876
ABC1070	133140	124592	45091
ABC1072	134850	125146	44551
ABC1073	155725	145918	48989
ABC1074	129967	120299	47205
ABC1075	153043	142812	50684
ABC1076	138262	126370	64434
ABC1078	142843	132760	51938
ABC1079	149733	138452	53818
ABC1081	146721	136424	53195
ABC1083	152620	141598	55967
ABC1085	134776	124222	50037
ABC1086	124692	115471	48856
ABC1087	145345	135770	45753
ABC1088	164346	152775	58264
ABC1089	159962	147089	62538
ABC1090	136097	126116	50404
ABC1091	154098	143894	50700
ABC1092	143313	132854	53339
ABC1095	151839	142362	53275
ABC1097	182859	174180	59549
ABC1098	137949	128990	45187
ABC1099	136712	129383	54571
ABC1100	127442	118042	48196
ABC1102	137291	128736	44261
ABC1103	127084	117971	46412
ABC1104	144503	134129	50394
ABC1105	137243	125993	53028
ABC1106	114942	106978	43440
ABC1108	136972	127503	50338
ABC1109	124780	114817	50855
ABC1110	152276	140575	59571
ABC1112	161835	149204	66700
ABC1116	156842	146000	58317
ABC1118	156721	144863	60723
ABC1123	131464	121256	52275
ABC1124	166229	155272	58484
ABC1125	133117	121659	52958
ABC1126	152144	141875	50723
ABC1130	165468	156245	58054
ABC1134	134157	124284	47696
ABC1136	110588	101754	43338
ABC1137	154272	144125	51765
ABC1138	147149	135468	59065
ABC1139	144071	132512	55803
ABC1140	126716	117541	44300
ABC1142	143107	131671	50718
ABC1144	133803	122824	51876
CNABC2001	124713	114198	52774
CNABC2002	126909	116933	49296
CNABC2004	147012	135720	54075
CNABC2005	139880	128913	54701
CNABC2006	146216	134247	57468
CNABC2007	145497	137303	42860
CNABC2008	158901	149498	48370
CNABC2009	149872	138549	54331
CNABC2010	133796	126143	45772
CNABC2013	149897	138631	53664
CNABC2016	126733	117123	47710
CNABC2017	125960	114897	53967
CNABC2018	151430	141366	48545
CNABC2019	140399	129092	52443
CNABC2020	141826	131879	48988
CNABC2021	146565	136885	47952
CNABC2022	183416	170212	67557
CNABC2024	138105	126081	54400
CNABC2025	133034	123765	46565
CNABC2026	150993	138870	62851
CNABC2027	128529	119364	42876
CNABC2029	165166	152487	55576
CNABC2030	137274	127100	49807
CNABC2031	141716	131516	49350
CNABC2032	164281	152886	60429
CNABC2034	182673	170750	60233
CNABC2035	162630	149815	63261
CNABC2037	170331	158068	61939
CNABC2039	137156	128470	46469
CNABC2040	147258	136278	53478
CNABC2042	159674	148195	55759
CNABC2043	170331	158068	61939
CNABC2044	142900	132438	51933
CNABC2045	137050	127766	46251
CNABC2046	146730	134344	55889
CNABC2048	152517	140328	58874
CNABC2049	122418	112485	51081
CNABC2050	147386	136118	52957
CNABC2051	118382	110113	42286
CNABC2052	139047	129968	46364
CNABC2053	133604	123146	51401
CNABC2054	113108	105158	41486
CNABC2055	136484	127175	47935
CNABC2056	170330	157073	63109
CNABC2057	146627	136231	53675
CNABC2058	143221	132201	54332
CNABC2059	145239	133949	55948
CNABC2060	165448	152370	59432
CNABC2061	125053	114116	53216
CNABC2062	139866	129895	47320
CNABC2063	135169	126388	47067
CNABC2064	129821	119803	51616
CNABC2065	144586	134255	51777
CNABC2066	129974	120112	52288
CNABC2067	132168	123043	46288
CNABC2068	133070	122820	50917
CNABC2069	166894	153434	69130
CNABC2070	151490	139677	58410
CNABC2071	135449	126815	44056
CNABC2072	153421	144026	50531
CNABC2074	154584	143638	53731
CNABC2075	143598	133906	50656
CNABC2076	122873	114345	40887
CNABC2077	133563	123099	53468
CNABC2078	163815	151991	57521
CNABC2080	140821	130849	48068
CNABC2081	126385	116379	46833
CNABC2082	128407	119481	44390
CNABC2083	154397	142083	57150
CNABC2086	163180	148961	71705
CNABC2087	160730	149435	57051
CNABC2088	131752	122967	41402
CNABC2091	155768	146164	49290
CNABC2092	142729	133346	47578
CNABC2095	137202	127492	49198
CNABC2097	166195	154423	58589
CNABC2098	175564	163473	63301
CNABC2100	138373	128050	52043
CNABC2101	140022	130104	46504
CNABC2102	144197	134227	47739
CNABC2103	155076	145407	46695
CNABC2104	152515	139739	67687
CNABC2105	147804	135790	56726
CNABC2106	146177	135529	53182
CNABC2108	155943	141455	71571
CNABC2109	130328	120754	43489
CNABC2111	127820	118567	45975
CNABC2112	138214	128206	50661
CNABC2114	148994	135950	59265
CNABC2115	169042	155627	66074
CNABC2116	151381	139725	53064
CNABC2118	136274	127556	44611
CNABC2119	141584	130944	54090
CNABC2121	150781	139773	52939
CNABC2122	140616	132451	42690
CNABC2125	160698	148816	60968
CNABC2126	137436	127763	49521
CNABC2127	146208	134019	57604
CNABC2128	141535	132277	50820
CNABC2130	149864	138991	53725
CNABC2132	166396	154469	61219
CNABC2134	133950	124123	44359
CNABC2135	128775	118565	47896
CNABC2136	148177	138025	52569
CNABC2137	126386	116339	47439
CNABC2138	79053	70673	49493
CNABC2139	117241	108017	43470
CNABC2140	166099	154702	54756
CNABC2146	160038	147388	58815
